timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
03:08.335 30 14.32 8.53 -166.80
03:09.020 30 0.44 8.09 -99.48
03:09.238 30 0.28 8.82 -99.37
03:10.317 30 0.25 9.29 -99.25
03:10.466 30 0.24 9.64 -99.16
03:10.607 30 0.28 9.86 -99.07
03:11.207 30 0.38 9.88 -98.93
03:11.404 30 0.40 9.68 -98.87
03:11.549 30 0.52 9.26 -98.73
03:12.086 30 0.65 8.89 -98.70
03:12.447 30 0.70 8.37 -98.57
03:12.646 30 0.64 7.93 -98.57
03:13.174 30 0.64 7.50 -98.57
03:13.613 30 0.82 6.90 -98.53
03:13.758 30 0.84 6.40 -98.52
03:13.887 30 0.94 5.84 -98.52
03:14.513 30 0.97 5.33 -98.53
03:14.648 30 0.80 4.87 -98.60
03:14.842 30 -0.39 -3.91 -101.91
03:15.169 30 -0.19 -3.09 -101.89
03:15.347 30 -0.01 -2.46 -101.90
03:15.974 30 0.41 -3.18 -101.80
03:16.168 30 0.71 -4.35 -101.86
03:16.402 30 0.72 -4.26 -101.85
03:17.841 30 0.73 -4.20 -101.83
03:17.972 30 0.72 -4.16 -101.83
03:18.115 30 0.72 -4.11 -101.81
03:18.643 30 0.68 -4.11 -101.81
03:18.784 30 0.70 -4.10 -101.83
03:18.919 30 0.71 -4.12 -101.84
03:19.380 30 0.73 -4.14 -101.85
03:19.576 30 0.71 -4.14 -101.84
03:19.717 30 0.68 -4.18 -101.83
03:19.996 30 0.67 -4.20 -101.82
03:20.715 30 0.66 -4.24 -101.83
03:20.848 30 0.70 -4.27 -101.84
03:21.062 30 0.70 -4.30 -101.85
03:21.802 30 0.85 -4.98 -102.20
03:22.376 30 0.85 -4.99 -102.22
03:22.543 30 0.85 -5.00 -102.24
03:22.981 30 0.84 -5.00 -102.25
03:23.549 30 0.85 -5.00 -102.26
03:24.629 30 0.84 -5.00 -102.26
03:25.083 30 0.85 -5.00 -102.26
03:25.228 30 0.85 -5.00 -102.26
03:25.353 30 0.85 -5.00 -102.26
03:25.901 30 0.85 -5.00 -102.26
03:26.095 30 0.85 -5.00 -102.26
03:26.237 30 0.85 -5.00 -102.26
03:26.371 30 0.85 -5.00 -102.26
03:26.839 30 0.85 -5.00 -102.27
03:27.570 30 0.82 -5.02 -102.47
03:28.276 30 0.83 -5.02 -102.47
03:28.479 30 0.83 -5.02 -102.47
03:29.763 30 0.83 -5.02 -102.47
03:29.893 30 0.83 -5.02 -102.47
03:30.095 30 0.83 -5.02 -102.47
03:30.618 30 0.83 -5.02 -102.48
03:30.760 30 0.83 -5.02 -102.48
03:30.892 30 0.83 -5.02 -102.48
03:31.361 30 0.83 -5.02 -102.48
03:31.560 30 0.83 -5.02 -102.48
03:31.699 30 0.83 -5.02 -102.48
03:31.926 30 0.83 -5.02 -102.48
03:32.607 30 0.83 -5.02 -102.48
03:32.807 30 0.83 -5.02 -102.48
03:33.026 30 0.83 -5.02 -102.48
03:33.494 30 0.83 -5.02 -102.48
03:33.637 30 0.83 -5.02 -102.48
03:33.869 30 0.82 -5.00 -102.56
03:34.181 30 0.82 -5.00 -102.56
03:34.348 30 0.82 -5.00 -102.56
03:34.988 30 0.82 -5.00 -102.56
03:35.179 30 0.81 -5.00 -102.57
03:35.410 30 0.81 -5.00 -102.57
03:36.765 30 0.81 -5.00 -102.57
03:36.904 30 0.81 -5.00 -102.57
03:37.056 30 0.81 -5.00 -102.57
03:37.517 30 0.81 -5.00 -102.57
03:37.734 30 0.81 -5.00 -102.57
03:37.864 30 0.81 -5.00 -102.57
03:38.338 30 0.81 -5.00 -102.57
03:38.468 30 0.81 -5.00 -102.57
03:38.677 30 0.81 -5.00 -102.57
03:38.954 30 0.81 -5.00 -102.57
03:39.632 30 0.81 -5.00 -102.57
03:39.759 30 0.81 -5.00 -102.57
03:39.907 30 0.81 -5.00 -102.57
03:40.157 30 0.76 -4.96 -102.57
03:40.776 30 0.76 -4.96 -102.57
03:40.907 30 0.76 -4.96 -102.57
03:41.275 30 0.76 -4.96 -102.57
03:41.839 30 0.76 -4.96 -102.57
03:43.168 30 0.76 -4.96 -102.57
03:43.298 30 0.76 -4.96 -102.57
03:43.439 30 0.76 -4.96 -102.57
03:43.905 30 0.75 -4.96 -102.57
03:44.048 30 0.75 -4.96 -102.57
