timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
01:30.814 0 59.894845 -28.631131 -2.491090 4.11 -172.57 54.46
01:30.847 0 59.900298 -28.633622 -2.392016 4.02 -172.04 54.65
01:30.881 0 59.897811 -28.630919 -2.489186 4.52 -172.46 54.50
01:30.913 0 59.899737 -28.630795 -2.491125 4.86 -171.75 54.23
01:30.948 0 59.901645 -28.632302 -2.488374 4.79 -172.43 54.48
01:30.981 0 59.901861 -28.633196 -2.489936 4.19 -171.77 54.39
01:31.013 0 59.902775 -28.634984 -2.491837 3.62 -171.06 54.30
01:31.046 0 59.904826 -28.635971 -2.490853 5.32 -171.83 54.40
01:31.079 0 59.905398 -28.638598 -2.490313 4.18 -171.70 54.20
01:31.113 0 59.905325 -28.641066 -2.490915 3.25 -171.14 54.21
01:31.147 0 59.907919 -28.648774 -2.490595 5.77 -170.99 54.77
01:31.180 0 59.908701 -28.650615 -2.490263 4.97 -171.77 54.61
01:31.213 0 59.908787 -28.650767 -2.491102 4.65 -171.06 54.69
01:31.246 0 59.909638 -28.650495 -2.493844 6.33 -171.58 54.66
01:31.280 0 59.913764 -28.659773 -2.492715 5.92 -171.57 54.86
